Method, Absolute Error Mean, Absolute Error Standard Deviation
Predict As Media, 0.4066393442622951, 0.2782545439681341
Combination With Ridge, 0.35282786885245904, 0.22284255975114317
Predict As 0, 0.40475409836065573, 0.27860958380522644
Dictionary, 0.3828688524590164, 0.24474134726812627
Lasso, 0.4066393442622951, 0.2782545439681341
Bayesian Ridge, 0.35647540983606557, 0.2573379551597775
Predict As Mode, 0.4066393442622951, 0.2782545439681341
Combination With Lasso, 0.39081967213114754, 0.248020326255648
Predict As Mean, 0.4116393442622951, 0.2621283025097046
Ridge, 0.3564344262295082, 0.25762946730021413
