Method, Accuracy, Compare to Dictionary
Predict As 0, 0.38934426229508196, 0.9693877551020408
Dictionary, 0.4016393442622951, 1.0
Combination with Ridge, 0.5, 1.2448979591836735
Combination with Linear SVR, 0.5122950819672131, 1.2755102040816326
Combination with Bayesian Ridge, 0.4959016393442623, 1.2346938775510203
Linear SVR, 0.5573770491803278, 1.3877551020408163
Lasso, 0.38934426229508196, 0.9693877551020408
Combination with Lasso, 0.3975409836065574, 0.9897959183673469
Bayesian Ridge, 0.569672131147541, 1.4183673469387756
Predict As Mode, 0.38934426229508196, 0.9693877551020408
Predict As Mean, 0.38934426229508196, 0.9693877551020408
Predict As Median, 0.38934426229508196, 0.9693877551020408
Ridge, 0.569672131147541, 1.4183673469387756
